Index,CompanyName,SkillsRequired,PostingTime,ExperienceRequired,MoreInformation
0,LTIMindtree Ltd.,Python Python - Data Science,19 days ago,8 - 12  Years,https://m.timesjobs.com/mobile/job-detail/python-data-science-specialist-ltimindtree-pune-8-to-12-yrs-jobid-tqlroufQ1PNzpSvf__PLUS__uAgZw==&bc=+&sequence=2
1,Electrobrain modern technologies pvt ltd,Data Science c ++ Artificial Intelligence Data Cleansing Data Extraction Deployment Data Manipulation Reporting Data Visualization,24 days ago,3 - 7  Years,https://m.timesjobs.com/mobile/job-detail/data-science-intern-electrobrain-modern-technologies-pvt-ltd-chandigarh-vijayawada-visakhapatnam-mangalore-mysoru-mysore-3-to-7-yrs-jobid-tqg4O5XtZYZzpSvf__PLUS__uAgZw==&bc=+&sequence=3
2,Maxgen Technologies,internship data science,36 days ago,0 - 1  Years,https://m.timesjobs.com/mobile/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-bhavnagar-junagarh-rajkot-surendranagar-0-to-1-yrs-jobid-eZScuXtVEN1zpSvf__PLUS__uAgZw==&bc=+&sequence=4
3,Electrobrain modern technologies pvt ltd,Data Science c ++ Artificial Intelligence Data Cleansing Data Extraction Deployment Data Manipulation Reporting Data Visualization,25 days ago,3 - 7  Years,https://m.timesjobs.com/mobile/job-detail/data-science-intern-electrobrain-modern-technologies-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-3-to-7-yrs-jobid-abdok6Pw8slzpSvf__PLUS__uAgZw==&bc=+&sequence=5
4,Electrobrain modern technologies pvt ltd,Data Science c ++ Artificial Intelligence Data Cleansing Data Extraction Deployment Data Manipulation Reporting Data Visualization,26 days ago,3 - 7  Years,https://m.timesjobs.com/mobile/job-detail/data-science-intern-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-3-to-7-yrs-jobid-xD44J__SLASH__T3__PLUS__OVzpSvf__PLUS__uAgZw==&bc=+&sequence=6
5,MACKENZIE MODERN IT SOLUTIONS PVT LTD,Data Science c ++ Artificial Intelligence Data Cleansing Data Extraction DeploymentReporting Machine Learning,24 days ago,3 - 7  Years,https://m.timesjobs.com/mobile/job-detail/data-science-intern-mackenzie-modern-it-solutions-pvt-ltd-chandigarh-vijayawada-visakhapatnam-mangalore-mysoru-mysore-3-to-7-yrs-jobid-oyHhJL7__SLASH__AexzpSvf__PLUS__uAgZw==&bc=+&sequence=7
6,MACKENZIE MODERN IT SOLUTIONS PVT LTD,Data Science c ++ Artificial Intelligence Data Cleansing Data Extraction DeploymentReporting Machine Learning,25 days ago,3 - 7  Years,https://m.timesjobs.com/mobile/job-detail/data-science-intern-mackenzie-modern-it-solutions-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-3-to-7-yrs-jobid-OJ7SNYBOyG9zpSvf__PLUS__uAgZw==&bc=+&sequence=8
7,MACKENZIE MODERN IT SOLUTIONS PVT LTD,Data Science c ++ Artificial Intelligence Data Cleansing Data Extraction DeploymentReporting Machine Learning,26 days ago,3 - 7  Years,https://m.timesjobs.com/mobile/job-detail/data-science-intern-mackenzie-modern-it-solutions-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-delhi-ncr-3-to-7-yrs-jobid-kw3EmMIyoIxzpSvf__PLUS__uAgZw==&bc=+&sequence=9
8,Maxgen Technologies,data science machine learning,60 days ago,0 - 1  Years,https://m.timesjobs.com/mobile/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-anand-gandhinagar-mehsana-surat-0-to-1-yrs-jobid-UFsMNq3__PLUS__u49zpSvf__PLUS__uAgZw==&bc=+&sequence=10
9,Maxgen Technologies,data science interns,57 days ago,0 - 1  Years,https://m.timesjobs.com/mobile/job-detail/data-science-internship-in-ahmedabad-maxgen-technologies-ahmedabad-bhavnagar-junagarh-rajkot-surendranagar-0-to-1-yrs-jobid-WWYWBZI17rZzpSvf__PLUS__uAgZw==&bc=+&sequence=11
10,Electrobrain modern technologies pvt ltd,Process documentation Analytical Consulting Machine learning Silicon Data analytics Python,30 days ago,2 - 7  Years,https://m.timesjobs.com/mobile/job-detail/senior-analyst-data-science-electrobrain-modern-technologies-pvt-ltd-chandigarh-vijayawada-visakhapatnam-mangalore-mysoru-mysore-2-to-7-yrs-jobid-zL1asEStqJVzpSvf__PLUS__uAgZw==&bc=+&sequence=12
11,Maxgen Technologies,,15 days ago,0 - 1  Years,https://m.timesjobs.com/mobile/job-detail/data-science-internshp-in-ahmedabad-maxgen-technologies-ahmedabad-anand-gandhinagar-mehsana-surat-0-to-1-yrs-jobid-np88fl9IHV9zpSvf__PLUS__uAgZw==&bc=+&sequence=13
